/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/1.jpg@n04090263 rifle@0.5449219@n02749479 assault rifle, assault gun@0.13891602@n02804610 bassoon@0.046173096@n03272010 electric guitar@0.0335083@n04487394 trombone@0.032226562@93.957054
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/2.jpg@n02749479 assault rifle, assault gun@0.66308594@n04090263 rifle@0.3334961@n04086273 revolver, six-gun, six-shooter@0.0019989014@n03527444 holster@0.000623703@n04008634 projectile, missile@0.0002746582@93.912895
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/3.jpeg@n04090263 rifle@0.60839844@n02749479 assault rifle, assault gun@0.36889648@n04008634 projectile, missile@0.009757996@n03773504 missile@0.006351471@n02950826 cannon@0.003850937@93.694275
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/4.jpg@n02749479 assault rifle, assault gun@0.6645508@n04090263 rifle@0.32128906@n04086273 revolver, six-gun, six-shooter@0.010574341@n02879718 bow@0.0009493828@n04485082 tripod@0.000341177@93.56312
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/5.jpg@n04090263 rifle@0.6425781@n02749479 assault rifle, assault gun@0.25756836@n04008634 projectile, missile@0.028671265@n02950826 cannon@0.025314331@n03773504 missile@0.0062026978@93.83873
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/6.jpg@n02749479 assault rifle, assault gun@0.91748047@n04090263 rifle@0.080200195@n04086273 revolver, six-gun, six-shooter@0.0023097992@n03527444 holster@0.00034594536@n02328150 Angora, Angora rabbit@0@93.74647
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/7.jpg@n02749479 assault rifle, assault gun@0.6323242@n04090263 rifle@0.3659668@n04086273 revolver, six-gun, six-shooter@0.0017900467@n04008634 projectile, missile@0.00024986267@n03773504 missile@8.177757E-05@93.86888
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/8.jpg@n04090263 rifle@0.5786133@n02749479 assault rifle, assault gun@0.30737305@n04208210 shovel@0.04675293@n03498962 hatchet@0.025817871@n03967562 plow, plough@0.015792847@93.67061
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/9.jpg@n04086273 revolver, six-gun, six-shooter@0.33154297@n03995372 power drill@0.19348145@n02749479 assault rifle, assault gun@0.17883301@n04090263 rifle@0.10430908@n04067472 reel@0.08453369@93.66026
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/10.jpg@n02749479 assault rifle, assault gun@0.78271484@n04090263 rifle@0.21728516@n15075141 toilet tissue, toilet paper, bathroom tissue@0@n02317335 starfish, sea star@0@n02389026 sorrel@0@93.88513
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/11.jpg@n02749479 assault rifle, assault gun@0.73339844@n04090263 rifle@0.265625@n04086273 revolver, six-gun, six-shooter@0.0009727478@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.94816
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/12.jpeg@n02749479 assault rifle, assault gun@0.79248047@n04090263 rifle@0.20678711@n04086273 revolver, six-gun, six-shooter@0.00013792515@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.50496
